year,cdd,r50mm,r95ptot,cwd,rx1day,rx5day,pr,prpercent,r20mm
1950,9.97,1.77,471.93,53.31,42.09,116.6,2204.57,89.85,18.6
1951,11.2,2.4,458.14,56.0,56.23,105.35,2200.84,79.55,17.35
1952,12.75,3.62,639.12,56.34,81.67,134.62,2447.15,87.51,23.93
1953,11.05,2.2,415.71,63.98,54.92,127.14,2085.73,76.91,16.57
1954,9.0,2.61,587.62,81.78,59.8,132.68,2625.7,98.06,25.13
1955,11.98,2.92,629.81,75.86,67.17,158.67,2649.27,100.94,25.17
1956,8.46,4.96,1056.9,84.78,73.72,179.55,3226.04,122.42,37.3
1957,13.6,3.23,624.24,56.09,52.76,118.8,2282.27,88.81,21.39
1958,16.64,2.33,503.09,53.7,53.7,117.42,2194.66,75.57,21.45
1959,15.13,2.16,407.33,45.25,57.39,125.08,1949.16,69.36,16.96
1960,14.74,2.97,550.67,47.62,66.03,140.91,2206.62,81.85,21.05
1961,15.78,2.58,474.66,46.03,47.64,108.79,2046.42,69.8,19.18
1962,14.55,2.83,489.99,48.18,52.72,125.46,2146.08,74.79,19.75
1963,24.1,2.4,408.24,50.68,54.31,113.69,1932.19,64.6,16.97
1964,14.19,3.76,692.23,64.82,77.44,155.55,2526.86,90.88,23.48
1965,12.84,2.47,456.45,46.05,52.87,124.34,2035.99,74.22,18.06
1966,18.23,2.63,480.32,43.15,67.66,147.64,1941.91,68.51,16.41
1967,18.93,2.36,426.5,37.84,68.11,124.0,1806.0,64.49,14.65
1968,23.52,2.25,353.18,40.4,52.22,113.94,1665.79,54.93,13.9
1969,23.07,2.14,373.66,49.54,53.22,125.98,1960.46,64.69,18.11
1970,13.71,3.32,627.8,64.06,71.24,152.97,2406.88,84.73,23.44
1971,13.18,4.51,758.74,58.35,74.89,175.96,2558.76,93.7,24.79
1972,12.9,3.76,590.8,61.18,46.18,133.94,2302.98,80.8,23.57
1973,23.38,2.91,540.13,68.29,66.52,145.68,2288.89,77.38,21.68
1974,12.49,5.71,888.14,52.77,69.61,142.06,2655.69,96.91,26.82
1975,11.23,2.89,608.06,69.6,61.67,143.24,2603.47,96.32,24.85
1976,10.78,5.02,813.42,55.66,82.43,235.33,2691.82,95.79,25.39
1977,13.84,3.47,677.5,69.63,70.96,148.39,2537.82,88.8,26.67
1978,15.96,4.23,803.65,79.85,79.15,151.39,2765.17,94.38,30.4
1979,15.21,3.42,613.69,62.81,51.88,138.02,2443.66,85.29,26.51
1980,12.3,3.87,742.59,64.67,73.32,144.05,2667.55,95.29,27.12
1981,14.7,3.25,648.47,64.11,53.55,121.24,2543.57,87.7,27.05
1982,12.54,3.21,577.07,68.63,58.08,142.44,2409.35,85.01,22.88
1983,25.06,1.94,435.92,79.04,58.89,125.35,2125.79,71.4,20.18
1984,11.36,3.06,698.51,87.79,52.16,135.93,2799.45,100.79,28.5
1985,12.42,3.81,759.59,74.98,67.49,131.72,2648.43,96.4,26.55
1986,12.58,3.88,714.96,66.7,64.46,140.47,2615.52,91.97,27.57
1987,20.14,2.45,490.03,60.16,58.4,121.26,2126.12,71.61,18.72
1988,13.47,4.23,806.68,69.2,86.73,159.89,2711.41,99.58,27.98
1989,10.84,3.51,680.06,61.95,59.87,118.82,2559.62,96.16,24.68
1990,17.15,3.68,650.36,63.1,66.87,142.74,2371.33,79.77,25.03
1991,14.67,3.41,532.64,45.8,55.62,139.96,2058.97,71.07,19.26
1992,18.47,2.74,460.44,53.99,49.09,125.92,2007.99,65.54,19.47
1993,14.71,4.43,701.61,55.05,71.08,146.9,2434.28,84.94,24.34
1994,14.51,2.99,573.27,54.97,51.75,130.18,2287.58,80.66,22.75
1995,16.61,4.48,720.69,86.35,74.51,144.32,2816.69,95.54,30.37
1996,10.99,3.51,640.07,61.64,61.51,140.86,2743.8,102.05,28.49
1997,14.54,1.91,349.06,49.89,41.63,124.32,2080.78,71.87,20.14
1998,24.53,3.21,532.25,67.9,95.63,180.95,2308.14,77.39,22.31
1999,9.37,4.48,876.25,68.95,55.53,111.28,3192.94,126.35,36.44
2000,6.71,5.17,883.3,70.98,62.86,139.9,3136.73,123.74,33.82
2001,8.89,3.72,695.32,69.66,67.62,135.44,2723.22,104.07,28.1
2002,14.1,2.75,422.68,62.8,61.24,132.41,2221.57,75.06,21.14
2003,17.01,3.66,573.35,58.26,63.2,145.86,2401.79,81.1,24.54
2004,11.47,3.25,555.86,48.4,58.39,137.08,2280.98,82.0,22.66
2005,13.69,3.73,664.07,61.97,75.64,162.72,2547.24,87.07,26.67
2006,9.12,4.31,764.68,63.34,55.35,125.03,2647.49,99.78,27.54
2007,12.34,3.34,676.18,59.01,67.55,143.38,2636.82,92.55,28.6
2008,8.05,5.29,1001.06,63.74,57.88,145.93,3101.57,123.38,34.44
2009,10.9,6.59,1119.61,59.81,65.55,137.69,2981.16,115.45,33.2
2010,18.9,2.38,562.52,77.26,54.8,119.24,2550.88,87.95,26.08
2011,7.88,6.69,1241.15,67.3,62.76,139.83,3413.21,130.42,41.2
2012,8.73,4.2,885.59,69.55,55.81,138.33,2915.85,111.09,33.61
2013,8.56,5.39,998.95,59.21,56.38,124.51,3045.08,109.23,36.85
2014,12.81,6.29,1045.0,57.05,71.24,148.06,2959.39,104.68,34.14
2015,14.88,4.53,740.68,46.75,74.14,148.82,2336.91,83.96,23.41
2016,14.25,4.08,787.22,71.73,81.21,160.71,2758.21,95.68,31.13
2017,7.84,6.08,1163.79,75.05,80.28,164.48,3327.31,126.2,39.58
2018,9.79,4.96,839.71,56.35,59.01,132.36,2632.37,97.12,29.74
2019,20.56,3.63,651.75,52.26,56.45,119.67,2310.21,78.17,25.14
2020,13.24,5.16,940.93,72.69,73.18,151.49,2884.33,101.94,33.55
2021,9.35,5.43,1087.16,63.56,66.12,139.05,3109.17,123.53,36.87
2022,7.04,5.56,1130.54,69.11,85.6,176.89,3266.34,126.98,38.56
2023,10.15,5.08,1009.07,61.33,77.82,170.72,3003.42,113.72,35.28
