SID,ISO_TIME,NATURE,LAT,LON,USA_WIND,year
1950126N09151,1950-05-06 12:00:00,TS,7.7,150.1,30.0,1950
1950126N09151,1950-05-06 15:00:00,TS,7.7,149.9,40.0,1950
1950126N09151,1950-05-06 18:00:00,TS,7.8,149.6,50.0,1950
1950126N09151,1950-05-06 21:00:00,TS,8.0,149.1,60.0,1950
1950126N09151,1950-05-07 00:00:00,TS,8.2,148.7,70.0,1950
1950126N09151,1950-05-07 03:00:00,TS,8.4,148.4,73.0,1950
1950126N09151,1950-05-07 06:00:00,TS,8.5,148.1,75.0,1950
1950126N09151,1950-05-07 09:00:00,TS,8.7,147.9,78.0,1950
1950126N09151,1950-05-07 12:00:00,TS,8.9,147.6,80.0,1950
1950126N09151,1950-05-07 15:00:00,TS,9.1,147.3,83.0,1950
1950126N09151,1950-05-07 18:00:00,TS,9.3,147.1,85.0,1950
1950126N09151,1950-05-07 21:00:00,TS,9.5,146.8,85.0,1950
1950126N09151,1950-05-08 00:00:00,TS,9.7,146.6,85.0,1950
1950126N09151,1950-05-08 03:00:00,TS,9.9,146.3,85.0,1950
1950126N09151,1950-05-08 06:00:00,TS,10.1,145.9,85.0,1950
1950126N09151,1950-05-08 09:00:00,TS,10.3,145.6,85.0,1950
1950126N09151,1950-05-08 12:00:00,TS,10.5,145.3,85.0,1950
1950126N09151,1950-05-08 15:00:00,TS,10.8,144.8,85.0,1950
1950126N09151,1950-05-08 18:00:00,TS,11.2,144.4,85.0,1950
1950126N09151,1950-05-08 21:00:00,TS,11.6,143.9,93.0,1950
1950126N09151,1950-05-09 00:00:00,TS,11.9,143.4,100.0,1950
1950126N09151,1950-05-09 03:00:00,TS,12.2,143.0,108.0,1950
1950126N09151,1950-05-09 06:00:00,TS,12.4,142.6,115.0,1950
1950126N09151,1950-05-09 09:00:00,TS,12.6,142.2,115.0,1950
1950126N09151,1950-05-09 12:00:00,TS,12.8,141.8,115.0,1950
1950126N09151,1950-05-09 15:00:00,TS,13.0,141.4,115.0,1950
1950126N09151,1950-05-09 18:00:00,TS,13.2,141.0,115.0,1950
1950126N09151,1950-05-09 21:00:00,TS,13.5,140.5,123.0,1950
1950126N09151,1950-05-10 00:00:00,TS,13.8,140.1,130.0,1950
1950126N09151,1950-05-10 03:00:00,TS,14.1,139.8,130.0,1950
1950126N09151,1950-05-10 06:00:00,TS,14.3,139.5,130.0,1950
1950126N09151,1950-05-10 09:00:00,TS,14.5,139.2,130.0,1950
1950126N09151,1950-05-10 12:00:00,TS,14.8,138.9,130.0,1950
1950126N09151,1950-05-10 15:00:00,TS,14.9,138.6,130.0,1950
1950126N09151,1950-05-10 18:00:00,TS,15.0,138.3,130.0,1950
1950126N09151,1950-05-10 21:00:00,TS,15.1,138.1,128.0,1950
1950126N09151,1950-05-11 00:00:00,TS,15.3,137.9,125.0,1950
1950126N09151,1950-05-11 03:00:00,TS,15.6,137.5,108.0,1950
1950126N09151,1950-05-11 06:00:00,TS,16.0,137.0,90.0,1950
1950126N09151,1950-05-11 09:00:00,TS,16.4,136.6,88.0,1950
1950126N09151,1950-05-11 12:00:00,TS,16.9,136.2,85.0,1950
1950126N09151,1950-05-11 15:00:00,TS,17.3,135.8,85.0,1950
1950126N09151,1950-05-11 18:00:00,TS,17.9,135.4,85.0,1950
1950126N09151,1950-05-11 21:00:00,TS,18.5,135.1,93.0,1950
1950126N09151,1950-05-12 00:00:00,TS,19.2,135.0,100.0,1950
1950126N09151,1950-05-12 03:00:00,TS,20.0,135.0,100.0,1950
1950126N09151,1950-05-12 06:00:00,TS,20.9,135.2,100.0,1950
1950126N09151,1950-05-12 09:00:00,TS,21.8,135.4,100.0,1950
1950126N09151,1950-05-12 12:00:00,TS,22.7,135.8,100.0,1950
1950126N09151,1950-05-12 15:00:00,TS,23.5,136.3,100.0,1950
1950126N09151,1950-05-12 18:00:00,TS,24.2,136.7,100.0,1950
1950126N09151,1950-05-12 21:00:00,TS,25.1,137.3,88.0,1950
1950126N09151,1950-05-13 00:00:00,TS,26.0,137.8,75.0,1950
1950126N09151,1950-05-13 03:00:00,TS,26.8,138.5,68.0,1950
1950126N09151,1950-05-13 06:00:00,TS,27.6,139.1,60.0,1950
1950126N09151,1950-05-13 09:00:00,TS,28.2,139.8,60.0,1950
1950126N09151,1950-05-13 12:00:00,TS,28.8,140.4,60.0,1950
1950126N09151,1950-05-13 15:00:00,TS,29.5,141.2,60.0,1950
1950126N09151,1950-05-13 18:00:00,TS,30.2,142.1,60.0,1950
1950126N09151,1950-05-13 21:00:00,TS,30.9,142.9,58.0,1950
1950126N09151,1950-05-14 00:00:00,TS,31.6,143.9,55.0,1950
1950126N09151,1950-05-14 03:00:00,TS,32.5,144.9,65.0,1950
1950156N20116,1950-06-05 00:00:00,TS,20.0,115.8,25.0,1950
1950156N20116,1950-06-05 03:00:00,TS,20.1,116.1,25.0,1950
1950156N20116,1950-06-05 06:00:00,TS,20.3,116.3,25.0,1950
1950156N20116,1950-06-05 09:00:00,TS,20.5,116.5,25.0,1950
1950156N20116,1950-06-05 12:00:00,TS,20.6,116.7,25.0,1950
1950156N20116,1950-06-05 15:00:00,TS,20.7,116.9,28.0,1950
1950156N20116,1950-06-05 18:00:00,TS,20.8,117.2,30.0,1950
1950156N20116,1950-06-05 21:00:00,TS,20.9,117.3,30.0,1950
1950156N20116,1950-06-06 00:00:00,TS,21.0,117.4,30.0,1950
1950156N20116,1950-06-06 03:00:00,TS,21.1,117.4,30.0,1950
1950156N20116,1950-06-06 06:00:00,TS,21.3,117.6,30.0,1950
1950156N20116,1950-06-06 09:00:00,TS,21.5,117.7,33.0,1950
1950156N20116,1950-06-06 12:00:00,TS,21.7,117.9,35.0,1950
1950156N20116,1950-06-06 15:00:00,TS,21.9,118.1,35.0,1950
1950156N20116,1950-06-06 18:00:00,TS,22.0,118.3,35.0,1950
1950156N20116,1950-06-06 21:00:00,TS,22.3,118.4,35.0,1950
1950156N20116,1950-06-07 00:00:00,TS,22.5,118.5,35.0,1950
1950156N20116,1950-06-07 03:00:00,TS,22.6,118.6,35.0,1950
1950156N20116,1950-06-07 06:00:00,TS,22.8,118.6,35.0,1950
1950156N20116,1950-06-07 09:00:00,TS,22.9,118.6,35.0,1950
1950156N20116,1950-06-07 12:00:00,TS,23.0,118.7,35.0,1950
1950156N20116,1950-06-07 15:00:00,TS,23.2,118.7,33.0,1950
1950156N20116,1950-06-07 18:00:00,TS,23.3,118.7,30.0,1950
1950156N20116,1950-06-07 21:00:00,TS,23.5,118.8,30.0,1950
1950156N20116,1950-06-08 00:00:00,TS,23.7,118.9,30.0,1950
1950156N20116,1950-06-08 03:00:00,TS,23.9,119.1,28.0,1950
1950156N20116,1950-06-08 06:00:00,TS,24.1,119.4,25.0,1950
1950156N20116,1950-06-08 09:00:00,TS,24.3,119.9,25.0,1950
1950156N20116,1950-06-08 12:00:00,TS,24.4,120.6,25.0,1950
1950156N20116,1950-06-08 15:00:00,TS,24.4,121.5,23.0,1950
1950156N20116,1950-06-08 18:00:00,TS,24.5,122.9,20.0,1950
1950174N19127,1950-06-23 00:00:00,TS,21.9,126.2,65.0,1950
1950174N19127,1950-06-23 03:00:00,TS,23.2,126.0,70.0,1950
1950174N19127,1950-06-23 06:00:00,TS,24.5,125.8,75.0,1950
1950174N19127,1950-06-23 09:00:00,TS,25.6,125.4,75.0,1950
1950174N19127,1950-06-23 12:00:00,TS,26.7,125.2,75.0,1950
1950174N19127,1950-06-23 15:00:00,TS,28.2,125.4,70.0,1950
1950174N19127,1950-06-23 18:00:00,TS,29.7,125.9,65.0,1950
1950174N19127,1950-06-23 21:00:00,TS,31.1,126.8,63.0,1950
1950174N19127,1950-06-24 00:00:00,TS,32.5,127.9,60.0,1950
1950174N19127,1950-06-24 03:00:00,TS,34.2,129.5,55.0,1950
1950195N17139,1950-07-16 12:00:00,TS,20.6,130.0,45.0,1950
1950195N17139,1950-07-16 15:00:00,TS,21.2,130.2,48.0,1950
1950195N17139,1950-07-16 18:00:00,TS,21.6,130.2,50.0,1950
1950195N17139,1950-07-16 21:00:00,TS,21.9,130.1,48.0,1950
1950195N17139,1950-07-17 00:00:00,TS,22.2,130.0,45.0,1950
1950195N17139,1950-07-17 03:00:00,TS,22.5,129.9,45.0,1950
1950195N17139,1950-07-17 06:00:00,TS,22.8,129.7,45.0,1950
1950195N17139,1950-07-17 09:00:00,TS,23.1,129.6,45.0,1950
1950195N17139,1950-07-17 12:00:00,TS,23.4,129.4,45.0,1950
1950195N17139,1950-07-17 15:00:00,TS,23.5,129.3,48.0,1950
1950195N17139,1950-07-17 18:00:00,TS,23.7,129.1,50.0,1950
1950195N17139,1950-07-17 21:00:00,TS,23.9,129.0,55.0,1950
1950195N17139,1950-07-18 00:00:00,TS,24.2,128.9,60.0,1950
1950195N17139,1950-07-18 03:00:00,TS,24.8,128.7,65.0,1950
1950195N17139,1950-07-18 06:00:00,TS,25.5,128.6,70.0,1950
1950196N21144,1950-07-15 12:00:00,TS,21.9,142.7,50.0,1950
1950196N21144,1950-07-15 15:00:00,TS,22.1,142.0,53.0,1950
1950196N21144,1950-07-15 18:00:00,TS,22.3,141.4,55.0,1950
1950196N21144,1950-07-15 21:00:00,TS,22.5,140.8,55.0,1950
1950196N21144,1950-07-16 00:00:00,TS,22.7,140.2,55.0,1950
1950196N21144,1950-07-16 03:00:00,TS,22.8,139.5,50.0,1950
1950196N21144,1950-07-16 06:00:00,TS,22.9,138.8,45.0,1950
1950196N21144,1950-07-16 09:00:00,TS,23.1,138.0,45.0,1950
1950196N21144,1950-07-16 12:00:00,TS,23.4,137.3,45.0,1950
1950196N21144,1950-07-16 15:00:00,TS,23.7,136.6,45.0,1950
1950196N21144,1950-07-16 18:00:00,TS,24.0,135.9,45.0,1950
1950196N21144,1950-07-16 21:00:00,TS,24.4,135.1,45.0,1950
1950196N21144,1950-07-17 00:00:00,TS,24.9,134.4,45.0,1950
1950196N21144,1950-07-17 03:00:00,TS,25.8,133.8,50.0,1950
1950196N21144,1950-07-17 06:00:00,TS,26.9,133.4,55.0,1950
1950196N21144,1950-07-17 09:00:00,TS,27.9,132.9,58.0,1950
1950196N21144,1950-07-17 12:00:00,TS,28.8,132.4,60.0,1950
1950196N21144,1950-07-17 15:00:00,TS,29.5,131.7,53.0,1950
1950196N21144,1950-07-17 18:00:00,TS,30.1,130.9,45.0,1950
1950196N21144,1950-07-17 21:00:00,TS,30.6,130.4,45.0,1950
1950196N21144,1950-07-18 00:00:00,TS,30.8,130.0,45.0,1950
1950196N21144,1950-07-18 03:00:00,TS,30.0,129.5,45.0,1950
1950196N21144,1950-07-18 06:00:00,TS,29.0,129.0,45.0,1950
1950196N21144,1950-07-18 09:00:00,TS,28.1,128.3,43.0,1950
1950196N21144,1950-07-18 12:00:00,TS,27.5,128.2,40.0,1950
1950196N21144,1950-07-18 15:00:00,TS,27.7,128.5,38.0,1950
1950196N21144,1950-07-18 18:00:00,TS,28.2,128.8,35.0,1950
1950196N21144,1950-07-18 21:00:00,TS,28.6,129.0,35.0,1950
1950196N21144,1950-07-19 00:00:00,TS,29.0,129.1,35.0,1950
1950196N21144,1950-07-19 03:00:00,TS,29.5,129.1,35.0,1950
1950196N21144,1950-07-19 06:00:00,TS,29.9,129.0,35.0,1950
1950196N21144,1950-07-19 09:00:00,TS,30.3,128.9,35.0,1950
1950196N21144,1950-07-19 12:00:00,TS,30.7,128.8,35.0,1950
1950196N21144,1950-07-19 15:00:00,TS,30.9,128.8,33.0,1950
1950196N21144,1950-07-19 18:00:00,TS,31.1,128.7,30.0,1950
1950196N21144,1950-07-19 21:00:00,TS,31.2,128.6,45.0,1950
1950196N21144,1950-07-20 00:00:00,TS,31.4,128.5,60.0,1950
1950196N21144,1950-07-20 03:00:00,TS,31.6,128.5,55.0,1950
1950196N21144,1950-07-20 06:00:00,TS,31.7,128.4,50.0,1950
1950196N21144,1950-07-20 09:00:00,TS,31.9,128.3,50.0,1950
1950196N21144,1950-07-20 12:00:00,TS,32.1,128.2,50.0,1950
1950196N21144,1950-07-20 15:00:00,TS,32.3,128.0,50.0,1950
1950196N21144,1950-07-20 18:00:00,TS,32.5,127.9,50.0,1950
1950196N21144,1950-07-20 21:00:00,TS,32.7,127.6,48.0,1950
1950196N21144,1950-07-21 00:00:00,TS,33.1,127.4,45.0,1950
1950196N21144,1950-07-21 03:00:00,TS,33.5,127.3,43.0,1950
1950196N21144,1950-07-21 06:00:00,TS,34.0,127.2,40.0,1950
1950196N21144,1950-07-21 09:00:00,TS,34.5,127.1,38.0,1950
1950196N21144,1950-07-21 12:00:00,TS,35.0,127.1,35.0,1950
1950196N21144,1950-07-21 15:00:00,TS,35.6,127.1,33.0,1950
1950196N21144,1950-07-21 18:00:00,TS,36.1,127.0,30.0,1950
1950221N19124,1950-08-10 12:00:00,TS,21.9,132.0,50.0,1950
1950221N19124,1950-08-10 15:00:00,TS,22.3,133.2,50.0,1950
1950221N19124,1950-08-10 18:00:00,TS,22.6,134.0,50.0,1950
1950221N19124,1950-08-10 21:00:00,TS,22.8,134.6,50.0,1950
1950221N19124,1950-08-11 00:00:00,TS,23.1,135.1,50.0,1950
1950221N19124,1950-08-11 03:00:00,TS,23.4,135.5,50.0,1950
1950221N19124,1950-08-11 06:00:00,TS,23.7,136.0,50.0,1950
1950221N19124,1950-08-11 09:00:00,TS,23.9,136.5,50.0,1950
1950221N19124,1950-08-11 12:00:00,TS,24.2,136.9,50.0,1950
1950221N19124,1950-08-11 15:00:00,TS,24.4,137.5,48.0,1950
1950221N19124,1950-08-11 18:00:00,TS,24.6,138.0,45.0,1950
1950221N19124,1950-08-11 21:00:00,TS,24.8,138.5,48.0,1950
1950221N19124,1950-08-12 00:00:00,TS,24.9,139.0,50.0,1950
1950221N19124,1950-08-12 03:00:00,TS,25.0,139.6,50.0,1950
1950221N19124,1950-08-12 06:00:00,TS,25.0,140.2,50.0,1950
1950221N19124,1950-08-12 09:00:00,TS,25.0,140.8,55.0,1950
1950221N19124,1950-08-12 12:00:00,TS,25.0,141.4,60.0,1950
