SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,peak_intensity
1950156N20116,1950-06-05 00:00:00,1950-06-08 18:00:00,1950,35.0,31,22.251612903225805,118.29354838709678,TS
1950174N19127,1950-06-23 00:00:00,1950-06-24 03:00:00,1950,75.0,10,27.76,126.41,TY
1950195N17139,1950-07-16 12:00:00,1950-07-18 06:00:00,1950,70.0,15,22.993333333333332,129.51333333333335,TY
1950196N21144,1950-07-15 12:00:00,1950-07-21 18:00:00,1950,60.0,51,28.83921568627451,131.4921568627451,TS
1950221N19124,1950-08-10 12:00:00,1950-08-21 00:00:00,1950,75.0,85,29.476470588235294,150.40941176470588,TY
1950255N14153,1950-09-17 06:00:00,1950-09-19 03:00:00,1950,55.0,16,24.425,135.55,TS
1950269N05153,1950-10-01 00:00:00,1950-10-05 06:00:00,1950,100.0,35,18.52857142857143,119.07428571428572,TY
1950301N09138,1950-10-28 06:00:00,1950-10-31 15:00:00,1950,100.0,28,23.835714285714285,137.60714285714286,TY
1950305N12145,1950-11-06 00:00:00,1950-11-12 21:00:00,1950,125.0,56,20.55535714285714,129.15714285714287,TY
1950322N06138,1950-11-19 18:00:00,1950-11-22 18:00:00,1950,60.0,25,12.012,120.012,TS
1950360N10141,1950-12-29 00:00:00,1951-01-01 06:00:00,1950,80.0,27,13.962962962962964,120.33333333333333,TY
1951119N06145,1951-04-29 12:00:00,1951-05-11 09:00:00,1951,150.0,96,15.755208333333334,130.45208333333332,STY
1951177N12136,1951-06-25 12:00:00,1951-07-02 03:00:00,1951,100.0,50,20.862,130.564,TY
1951206N11145,1951-07-26 12:00:00,1951-08-02 00:00:00,1951,120.0,53,16.750943396226415,124.31698113207547,TY
1951223N11148,1951-08-10 12:00:00,1951-08-24 00:00:00,1951,100.0,109,24.077064220183487,132.4348623853211,TY
1951239N11144,1951-08-30 06:00:00,1951-09-04 00:00:00,1951,100.0,39,18.646153846153847,117.83846153846153,TY
1951255N08148,1951-09-16 00:00:00,1951-09-22 06:00:00,1951,85.0,50,18.11,120.116,TY
1951263N08137,1951-09-24 00:00:00,1951-09-26 18:00:00,1951,90.0,23,20.795652173913044,119.09565217391304,TY
1951281N11147,1951-10-09 00:00:00,1951-10-15 09:00:00,1951,120.0,52,22.611538461538462,131.63846153846154,TY
1951321N09143,1951-11-18 00:00:00,1951-11-26 12:00:00,1951,90.0,68,12.552941176470588,119.63235294117646,TY
1951337N09150,1951-12-03 00:00:00,1951-12-17 06:00:00,1951,120.0,115,11.125217391304348,126.44434782608695,TY
1951344N09143,1951-12-11 06:00:00,1951-12-17 06:00:00,1951,100.0,42,19.321428571428573,140.44761904761904,TY
1952162N15118,1952-06-10 00:00:00,1952-06-14 03:00:00,1952,85.0,34,19.75,113.40882352941176,TY
1952171N12130,1952-06-19 00:00:00,1952-06-23 15:00:00,1952,75.0,38,21.528947368421054,126.61052631578947,TY
1952180N05144,1952-06-28 00:00:00,1952-07-06 09:00:00,1952,110.0,68,11.81764705882353,126.45294117647057,TY
1952191N23124,1952-07-11 06:00:00,1952-07-15 12:00:00,1952,45.0,34,27.711764705882356,131.0235294117647,TS
1952206N09134,1952-07-26 00:00:00,1952-07-30 00:00:00,1952,100.0,33,18.65757575757576,122.9030303030303,TY
1952215N13131,1952-08-02 00:00:00,1952-08-08 18:00:00,1952,45.0,55,22.34909090909091,137.17818181818183,TS
1952224N14135,1952-08-10 12:00:00,1952-08-19 21:00:00,1952,85.0,74,26.058108108108108,129.62702702702703,TY
1952236N10135,1952-08-23 06:00:00,1952-08-30 00:00:00,1952,75.0,55,17.05818181818182,116.3890909090909,TY
1952241N08137,1952-08-29 18:00:00,1952-09-04 03:00:00,1952,65.0,44,22.670454545454547,124.1659090909091,TY
1952245N09139,1952-09-02 12:00:00,1952-09-08 12:00:00,1952,80.0,49,18.183673469387756,115.7204081632653,TY
1952251N11139,1952-09-08 12:00:00,1952-09-14 00:00:00,1952,40.0,40,22.1125,120.42750000000001,TS
1952260N17119,1952-09-16 00:00:00,1952-09-19 00:00:00,1952,35.0,24,18.320833333333333,111.29166666666667,TS
1952287N09148,1952-10-15 12:00:00,1952-10-25 21:00:00,1952,120.0,84,11.83095238095238,125.60119047619048,TY
1952288N10118,1952-10-14 06:00:00,1952-10-15 18:00:00,1952,40.0,13,13.323076923076922,112.6923076923077,TS
1952289N15128,1952-10-17 12:00:00,1952-10-20 18:00:00,1952,65.0,27,12.5,113.3,TY
1952296N06152,1952-10-21 12:00:00,1952-10-31 12:00:00,1952,160.0,81,10.962962962962964,129.1679012345679,STY
1952303N09149,1952-10-28 12:00:00,1952-11-06 21:00:00,1952,150.0,74,20.63243243243243,138.4945945945946,STY
1952312N08150,1952-11-09 00:00:00,1952-11-16 12:00:00,1952,100.0,60,20.886666666666667,129.78166666666667,TY
1952321N10146,1952-11-15 12:00:00,1952-11-22 03:00:00,1952,110.0,50,20.06,132.374,TY
1952326N07144,1952-11-22 06:00:00,1952-11-27 09:00:00,1952,150.0,41,17.065853658536586,123.48536585365852,STY
