SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,par_max_wind,peak_intensity,par_peak_intensity
1950156N20116,1950-06-05 00:00:00,1950-06-08 18:00:00,1950,35.0,31,22.251612903225805,118.29354838709678,25.0,TS,TD
1950174N19127,1950-06-23 00:00:00,1950-06-24 06:00:00,1950,75.0,11,28.481818181818184,126.84545454545454,75.0,TY,TY
1950195N17139,1950-07-16 12:00:00,1950-07-18 06:00:00,1950,70.0,15,22.993333333333332,129.51333333333335,65.0,TY,TY
1950196N21144,1950-07-15 12:00:00,1950-07-21 18:00:00,1950,60.0,51,28.83921568627451,131.4921568627451,45.0,TS,TS
1950221N19124,1950-08-10 12:00:00,1950-08-21 00:00:00,1950,75.0,85,29.476470588235294,150.40941176470588,50.0,TY,TS
1950255N14153,1950-09-17 06:00:00,1950-09-19 06:00:00,1950,55.0,17,24.65294117647059,135.87058823529412,53.0,TS,TS
1950269N05153,1950-10-01 00:00:00,1950-10-05 06:00:00,1950,100.0,35,18.52857142857143,119.07428571428572,90.0,TY,TY
1950301N09138,1950-10-28 06:00:00,1950-10-31 18:00:00,1950,100.0,29,24.424137931034487,137.9551724137931,100.0,TY,TY
1950305N12145,1950-11-06 00:00:00,1950-11-13 18:00:00,1950,125.0,63,21.461904761904762,131.03333333333333,125.0,TY,TY
1950322N06138,1950-11-19 18:00:00,1950-11-22 18:00:00,1950,60.0,25,12.012,120.012,60.0,TS,TS
1950360N10141,1950-12-29 00:00:00,1951-01-01 06:00:00,1950,80.0,27,13.962962962962964,120.33333333333333,80.0,TY,TY
1951119N06145,1951-04-29 12:00:00,1951-05-12 18:00:00,1951,150.0,107,17.034579439252337,131.7495327102804,150.0,STY,STY
1951177N12136,1951-06-25 12:00:00,1951-07-03 00:00:00,1951,100.0,61,21.93606557377049,132.272131147541,75.0,TY,TY
1951206N11145,1951-07-26 12:00:00,1951-08-02 00:00:00,1951,120.0,53,16.750943396226415,124.31698113207547,120.0,TY,TY
1951223N11148,1951-08-10 12:00:00,1951-08-24 00:00:00,1951,100.0,109,24.077064220183487,132.4348623853211,100.0,TY,TY
1951239N11144,1951-08-30 06:00:00,1951-09-04 00:00:00,1951,100.0,39,18.646153846153847,117.83846153846153,83.0,TY,TY
1951255N08148,1951-09-16 00:00:00,1951-09-22 06:00:00,1951,85.0,51,18.15686274509804,119.93333333333334,85.0,TY,TY
1951263N08137,1951-09-24 00:00:00,1951-09-26 18:00:00,1951,90.0,23,20.795652173913044,119.09565217391304,45.0,TY,TS
1951281N11147,1951-10-09 00:00:00,1951-10-18 00:00:00,1951,120.0,73,29.295890410958904,142.02876712328768,120.0,TY,TY
1951321N09143,1951-11-18 00:00:00,1951-11-26 12:00:00,1951,90.0,69,12.555072463768115,119.44782608695651,90.0,TY,TY
1951337N09150,1951-12-03 00:00:00,1951-12-17 06:00:00,1951,120.0,115,11.125217391304348,126.44434782608695,120.0,TY,TY
1951344N09143,1951-12-11 06:00:00,1951-12-17 06:00:00,1951,100.0,49,20.242857142857144,141.934693877551,85.0,TY,TY
1952162N15118,1952-06-10 00:00:00,1952-06-15 00:00:00,1952,85.0,41,20.39268292682927,113.30731707317074,40.0,TY,TS
1952171N12130,1952-06-19 00:00:00,1952-06-25 12:00:00,1952,75.0,53,25.983018867924528,134.60943396226415,75.0,TY,TY
1952180N05144,1952-06-28 00:00:00,1952-07-06 12:00:00,1952,110.0,69,11.959420289855073,126.1768115942029,110.0,TY,TY
1952191N23124,1952-07-11 06:00:00,1952-07-15 12:00:00,1952,45.0,35,27.837142857142855,131.01999999999998,35.0,TS,TS
1952206N09134,1952-07-26 00:00:00,1952-07-30 00:00:00,1952,100.0,33,18.65757575757576,122.9030303030303,85.0,TY,TY
1952215N13131,1952-08-02 00:00:00,1952-08-08 18:00:00,1952,45.0,55,22.34909090909091,137.17818181818183,35.0,TS,TS
1952224N14135,1952-08-10 12:00:00,1952-08-20 12:00:00,1952,85.0,81,26.898765432098767,130.8851851851852,70.0,TY,TY
1952236N10135,1952-08-22 12:00:00,1952-08-30 00:00:00,1952,75.0,61,16.42622950819672,118.06721311475411,53.0,TY,TS
1952241N08137,1952-08-29 12:00:00,1952-09-04 12:00:00,1952,65.0,49,23.26938775510204,125.10408163265306,65.0,TY,TY
1952245N09139,1952-09-02 12:00:00,1952-09-08 12:00:00,1952,80.0,49,18.183673469387756,115.7204081632653,73.0,TY,TY
1952251N11139,1952-09-07 06:00:00,1952-09-14 00:00:00,1952,40.0,55,20.703636363636363,122.74545454545455,35.0,TS,TS
1952260N17119,1952-09-16 00:00:00,1952-09-19 00:00:00,1952,35.0,25,18.384,111.148,23.0,TS,TD
1952287N09148,1952-10-15 12:00:00,1952-10-26 00:00:00,1952,120.0,85,11.864705882352942,125.34117647058824,120.0,TY,TY
1952288N10118,1952-10-14 06:00:00,1952-10-15 18:00:00,1952,40.0,13,13.323076923076922,112.6923076923077,30.0,TS,TD
1952289N15128,1952-10-17 00:00:00,1952-10-20 18:00:00,1952,65.0,31,12.558064516129033,114.19999999999999,45.0,TY,TS
1952296N06152,1952-10-21 12:00:00,1952-10-31 12:00:00,1952,160.0,81,10.962962962962964,129.1679012345679,160.0,STY,STY
1952303N09149,1952-10-28 12:00:00,1952-11-07 12:00:00,1952,150.0,81,21.341975308641977,140.2530864197531,150.0,STY,STY
1952312N08150,1952-11-09 00:00:00,1952-11-16 12:00:00,1952,100.0,61,21.014754098360658,129.75409836065575,100.0,TY,TY
1952321N10146,1952-11-15 12:00:00,1952-11-22 06:00:00,1952,110.0,55,19.64909090909091,133.26181818181817,110.0,TY,TY
1952326N07144,1952-11-22 06:00:00,1952-11-27 12:00:00,1952,150.0,43,17.390697674418604,123.31395348837209,150.0,STY,STY
1952348N08129,1952-12-16 00:00:00,1952-12-19 06:00:00,1952,45.0,27,12.91851851851852,113.40370370370371,35.0,TS,TS
1952352N07147,1952-12-16 12:00:00,1952-12-25 12:00:00,1952,130.0,73,11.145205479452056,125.36712328767122,130.0,STY,STY
1952363N06171,1952-12-27 18:00:00,1953-01-04 18:00:00,1952,160.0,65,14.435384615384615,148.4923076923077,125.0,STY,TY
1953049N07167,1953-02-18 00:00:00,1953-02-25 12:00:00,1953,100.0,61,11.019672131147543,145.79508196721312,65.0,TY,TY
1953148N08150,1953-05-28 00:00:00,1953-06-07 18:00:00,1953,120.0,87,16.164367816091954,131.7229885057471,120.0,TY,TY
1953172N08142,1953-06-24 00:00:00,1953-06-26 00:00:00,1953,40.0,17,14.958823529411765,124.51176470588234,40.0,TS,TS
1953176N05150,1953-06-25 00:00:00,1953-07-08 06:00:00,1953,150.0,107,19.85981308411215,132.90747663551403,150.0,STY,STY
1953211N19130,1953-07-30 00:00:00,1953-08-08 12:00:00,1953,100.0,77,27.846753246753245,138.87142857142857,35.0,TY,TS
1953219N08155,1953-08-08 06:00:00,1953-08-18 12:00:00,1953,160.0,83,19.83855421686747,134.5590361445783,160.0,STY,STY
1953222N17127,1953-08-12 00:00:00,1953-08-16 12:00:00,1953,100.0,37,18.956756756756757,110.03783783783784,50.0,TY,TS
1953227N09147,1953-08-15 00:00:00,1953-08-22 00:00:00,1953,75.0,57,17.828070175438597,130.60877192982457,75.0,TY,TY
1953235N10162,1953-08-23 12:00:00,1953-09-02 00:00:00,1953,125.0,77,17.377922077922076,138.6064935064935,125.0,TY,TY
1953235N14148,1953-08-26 06:00:00,1953-08-29 12:00:00,1953,55.0,27,12.6,133.5962962962963,55.0,TS,TS
1953256N17128,1953-09-15 06:00:00,1953-09-20 12:00:00,1953,110.0,43,20.951162790697673,114.35348837209303,28.0,TY,TD
1953260N07153,1953-09-17 00:00:00,1953-09-27 12:00:00,1953,150.0,85,22.95294117647059,139.73764705882354,150.0,STY,STY
1953274N16113,1953-10-03 12:00:00,1953-10-08 00:00:00,1953,100.0,37,26.135135135135137,137.73243243243243,60.0,TY,TS
1953299N09138,1953-10-25 12:00:00,1953-11-02 00:00:00,1953,130.0,61,15.242622950819671,119.51147540983607,103.0,STY,TY
1953313N06155,1953-11-08 18:00:00,1953-11-20 00:00:00,1953,120.0,91,12.878021978021978,133.47582417582416,120.0,TY,TY
1953326N04147,1953-11-25 00:00:00,1953-11-29 00:00:00,1953,40.0,33,14.796969696969697,131.9212121212121,40.0,TS,TS
1953332N06149,1953-11-28 00:00:00,1953-12-03 00:00:00,1953,40.0,41,6.553658536585366,141.90731707317073,30.0,TS,TD
1954060N06136,1954-03-01 00:00:00,1954-03-04 12:00:00,1954,50.0,29,8.448275862068966,129.35172413793103,50.0,TS,TS
1954125N07131,1954-05-05 00:00:00,1954-05-12 18:00:00,1954,100.0,63,12.792063492063491,117.6952380952381,75.0,TY,TY
1954185N07145,1954-07-04 00:00:00,1954-07-10 06:00:00,1954,75.0,51,13.815686274509805,134.7921568627451,75.0,TY,TY
1954223N22138,1954-08-11 18:00:00,1954-08-19 06:00:00,1954,100.0,61,27.504918032786886,130.64098360655737,85.0,TY,TY
1954231N10159,1954-08-18 12:00:00,1954-08-31 12:00:00,1954,150.0,105,15.19142857142857,135.60285714285715,150.0,STY,STY
1954231N13145,1954-08-20 06:00:00,1954-08-26 06:00:00,1954,40.0,49,24.787755102040816,131.18163265306123,33.0,TS,TD
1954247N19152,1954-09-04 06:00:00,1954-09-15 12:00:00,1954,130.0,91,25.963736263736262,138.43736263736264,75.0,STY,TY
1954261N11150,1954-09-19 00:00:00,1954-09-28 06:00:00,1954,75.0,75,25.057333333333332,136.62800000000001,60.0,TY,TS
1954273N16146,1954-09-30 00:00:00,1954-10-13 00:00:00,1954,85.0,105,16.932380952380953,128.06952380952382,85.0,TY,TY
1954300N10141,1954-10-27 12:00:00,1954-11-08 00:00:00,1954,150.0,93,17.540860215053762,126.09139784946237,150.0,STY,STY
1954307N04148,1954-11-02 12:00:00,1954-11-11 12:00:00,1954,150.0,73,13.093150684931507,129.36712328767123,150.0,STY,STY
1954314N11152,1954-11-10 00:00:00,1954-11-20 06:00:00,1954,150.0,83,14.571084337349399,131.43975903614458,150.0,STY,STY
1954326N12157,1954-11-22 00:00:00,1954-12-01 06:00:00,1954,125.0,75,11.585333333333333,139.24533333333332,120.0,TY,TY
1955001N08140,1955-01-01 18:00:00,1955-01-06 06:00:00,1955,70.0,37,7.356756756756757,128.47027027027025,70.0,TY,TY
1955107N07139,1955-04-17 00:00:00,1955-04-26 12:00:00,1955,100.0,77,16.022077922077923,133.80129870129872,100.0,TY,TY
1955186N10147,1955-07-06 06:00:00,1955-07-15 12:00:00,1955,125.0,75,20.857333333333333,131.22666666666666,120.0,TY,TY
1955194N18138,1955-07-13 12:00:00,1955-07-16 18:00:00,1955,70.0,27,25.72962962962963,135.06296296296296,30.0,TY,TD
1955199N20131,1955-07-18 00:00:00,1955-07-21 12:00:00,1955,120.0,29,27.21379310344828,137.52068965517242,68.0,TY,TY
1955232N09137,1955-08-22 06:00:00,1955-08-24 12:00:00,1955,80.0,19,22.53684210526316,121.28947368421052,80.0,TY,TY
1955259N10153,1955-09-16 06:00:00,1955-09-26 18:00:00,1955,130.0,85,15.379999999999999,128.31058823529412,130.0,STY,STY
1955276N11116,1955-10-03 18:00:00,1955-10-08 12:00:00,1955,35.0,39,15.266666666666666,115.05384615384617,35.0,TS,TS
1955277N16134,1955-10-07 00:00:00,1955-10-12 12:00:00,1955,90.0,45,29.22222222222222,139.43555555555557,65.0,TY,TY
1955289N19128,1955-10-15 12:00:00,1955-10-21 00:00:00,1955,85.0,45,26.215555555555557,130.08666666666664,85.0,TY,TY
1955295N10143,1955-10-22 06:00:00,1955-10-27 12:00:00,1955,40.0,43,13.083720930232559,138.06976744186048,35.0,TS,TS
1955329N10129,1955-11-29 12:00:00,1955-12-03 06:00:00,1955,130.0,31,19.796774193548387,131.10645161290324,130.0,STY,STY
1955346N06142,1955-12-12 06:00:00,1955-12-18 12:00:00,1955,180.0,51,16.905882352941177,137.4529411764706,180.0,STY,STY
1956081N02154,1956-03-21 06:00:00,1956-04-05 18:00:00,1956,125.0,125,9.6056,136.5736,100.0,TY,TY
1956100N12123,1956-04-09 00:00:00,1956-04-14 18:00:00,1956,40.0,47,13.848936170212765,116.22340425531915,33.0,TS,TD
1956107N06147,1956-04-16 00:00:00,1956-04-25 00:00:00,1956,150.0,73,15.657534246575343,129.8082191780822,150.0,STY,STY
1956187N12126,1956-07-05 06:00:00,1956-07-08 12:00:00,1956,80.0,27,15.881481481481481,116.34074074074073,50.0,TY,TS
1956207N13145,1956-07-27 00:00:00,1956-08-03 12:00:00,1956,160.0,61,24.667213114754098,129.68852459016392,160.0,STY,STY
1956215N23146,1956-08-03 00:00:00,1956-08-05 00:00:00,1956,65.0,17,24.341176470588238,135.90588235294118,55.0,TY,TS
1956220N08137,1956-08-09 00:00:00,1956-08-10 12:00:00,1956,40.0,13,16.407692307692308,124.26153846153846,40.0,TS,TS
1956223N16126,1956-08-12 00:00:00,1956-08-18 18:00:00,1956,100.0,55,28.37272727272727,129.45454545454547,100.0,TY,TY
1956238N14143,1956-08-25 00:00:00,1956-09-02 00:00:00,1956,110.0,65,17.70769230769231,121.47692307692307,100.0,TY,TY
1956242N16132,1956-08-29 00:00:00,1956-09-04 18:00:00,1956,95.0,55,21.91090909090909,126.11272727272727,95.0,TY,TY
1956245N24140,1956-09-01 06:00:00,1956-09-11 12:00:00,1956,135.0,83,27.150602409638555,134.2843373493976,130.0,STY,STY
1956257N18131,1956-09-13 00:00:00,1956-09-19 00:00:00,1956,85.0,49,22.651020408163266,123.05918367346938,85.0,TY,TY
1956261N12129,1956-09-18 00:00:00,1956-09-24 12:00:00,1956,140.0,53,19.50188679245283,121.87358490566038,140.0,STY,STY
1956263N15142,1956-09-19 06:00:00,1956-09-27 00:00:00,1956,110.0,63,19.955555555555556,133.4269841269841,110.0,TY,TY
1956288N11132,1956-10-16 00:00:00,1956-10-26 12:00:00,1956,130.0,85,18.69294117647059,121.23882352941176,130.0,STY,STY
1956314N08153,1956-11-10 00:00:00,1956-11-21 06:00:00,1956,95.0,86,13.529069767441861,127.24651162790698,95.0,TY,TY
1956328N14129,1956-11-24 00:00:00,1956-11-25 06:00:00,1956,75.0,11,17.845454545454547,127.1,75.0,TY,TY
1956329N09136,1956-11-24 06:00:00,1956-11-29 18:00:00,1956,75.0,45,13.69111111111111,126.97333333333334,75.0,TY,TY
1956342N14128,1956-12-07 06:00:00,1956-12-10 06:00:00,1956,85.0,25,13.927999999999999,124.712,85.0,TY,TY
1957003N07140,1957-01-03 00:00:00,1957-01-07 06:00:00,1957,40.0,35,9.314285714285715,130.3057142857143,40.0,TS,TS
1957021N03152,1957-01-22 00:00:00,1957-01-27 06:00:00,1957,135.0,43,12.06046511627907,136.82325581395347,130.0,STY,STY
1957101N05136,1957-04-11 00:00:00,1957-04-18 00:00:00,1957,100.0,57,12.65263157894737,128.7280701754386,100.0,TY,TY
1957168N05156,1957-06-18 00:00:00,1957-06-28 12:00:00,1957,150.0,85,19.59294117647059,132.4764705882353,150.0,STY,STY
1957192N07141,1957-07-11 00:00:00,1957-07-17 12:00:00,1957,90.0,53,16.30754716981132,123.89056603773585,90.0,TY,TY
1957223N08145,1957-08-12 18:00:00,1957-08-22 12:00:00,1957,135.0,79,24.470886075949366,132.13924050632912,135.0,STY,STY
1957249N18125,1957-09-09 00:00:00,1957-09-16 06:00:00,1957,110.0,59,21.622033898305087,121.6593220338983,110.0,TY,TY
1957261N10147,1957-09-18 00:00:00,1957-09-30 12:00:00,1957,140.0,101,24.286138613861386,140.1851485148515,130.0,STY,STY
1957261N12135,1957-09-18 00:00:00,1957-09-22 00:00:00,1957,90.0,33,16.296969696969697,124.9030303030303,90.0,TY,TY
1957281N15118,1957-10-09 06:00:00,1957-10-13 06:00:00,1957,75.0,33,15.13939393939394,111.8,50.0,TY,TS
1957284N13133,1957-10-12 00:00:00,1957-10-15 12:00:00,1957,45.0,29,16.93448275862069,118.52413793103447,38.0,TS,TS
1957291N14155,1957-10-19 00:00:00,1957-10-30 00:00:00,1957,130.0,89,25.814606741573034,149.8247191011236,130.0,STY,STY
1957309N11161,1957-11-06 06:00:00,1957-11-17 12:00:00,1957,140.0,91,16.852747252747253,130.86043956043954,140.0,STY,STY
1958158N08151,1958-06-09 00:00:00,1958-06-13 12:00:00,1958,75.0,37,20.732432432432432,136.73243243243243,75.0,TY,TY
1958179N04158,1958-06-29 00:00:00,1958-07-06 00:00:00,1958,75.0,57,16.689473684210526,140.34736842105264,70.0,TY,TY
1958192N16135,1958-07-12 06:00:00,1958-07-17 06:00:00,1958,150.0,41,22.14390243902439,123.67073170731707,150.0,STY,STY
1958194N05146,1958-07-14 12:00:00,1958-07-24 12:00:00,1958,130.0,81,24.764197530864198,136.7962962962963,130.0,STY,STY
1958194N20115,1958-07-13 00:00:00,1958-07-16 06:00:00,1958,60.0,27,18.248148148148147,118.05925925925925,60.0,TS,TS
1958232N12139,1958-08-21 06:00:00,1958-08-26 12:00:00,1958,90.0,43,28.8,134.87209302325581,90.0,TY,TY
1958240N08146,1958-08-29 12:00:00,1958-09-05 06:00:00,1958,165.0,55,19.945454545454545,129.20545454545456,165.0,STY,STY
1958251N10142,1958-09-09 00:00:00,1958-09-20 12:00:00,1958,150.0,93,28.127956989247313,135.5752688172043,150.0,STY,STY
1958263N13148,1958-09-20 12:00:00,1958-09-27 18:00:00,1958,175.0,59,22.264406779661016,138.71186440677965,175.0,STY,STY
1958293N12128,1958-10-20 06:00:00,1958-10-27 12:00:00,1958,100.0,59,13.916949152542374,116.36271186440678,100.0,TY,TY
1958295N10149,1958-10-23 00:00:00,1958-11-03 00:00:00,1958,110.0,89,17.456179775280898,132.71685393258426,110.0,TY,TY
1958325N11133,1958-11-21 00:00:00,1958-11-26 18:00:00,1958,140.0,47,17.01276595744681,131.8468085106383,140.0,STY,STY
1958332N11139,1958-11-30 06:00:00,1958-12-04 00:00:00,1958,45.0,31,17.44516129032258,136.81290322580645,35.0,TS,TS
1959058N09141,1959-02-27 00:00:00,1959-03-01 06:00:00,1959,50.0,19,8.463157894736844,135.32105263157894,45.0,TS,TS
1959063N06165,1959-03-04 06:00:00,1959-03-13 00:00:00,1959,55.0,71,7.023943661971831,147.02394366197183,50.0,TS,TS
1959190N08145,1959-07-12 00:00:00,1959-07-18 00:00:00,1959,90.0,49,24.240816326530613,125.41020408163266,90.0,TY,TY
1959211N21148,1959-08-02 06:00:00,1959-08-12 12:00:00,1959,100.0,83,32.02530120481928,137.70602409638553,100.0,TY,TY
1959231N16130,1959-08-19 00:00:00,1959-08-23 18:00:00,1959,90.0,39,20.125641025641023,121.7102564102564,90.0,TY,TY
1959236N10132,1959-08-25 00:00:00,1959-08-27 18:00:00,1959,40.0,23,15.226086956521739,125.07391304347826,40.0,TS,TS
1959236N12139,1959-08-25 06:00:00,1959-08-31 12:00:00,1959,170.0,51,20.599999999999998,128.6235294117647,170.0,STY,STY
1959241N12148,1959-08-30 00:00:00,1959-09-07 12:00:00,1959,120.0,69,23.092753623188408,126.4231884057971,120.0,TY,TY
1959248N13132,1959-09-05 12:00:00,1959-09-12 18:00:00,1959,50.0,59,20.471186440677965,120.74745762711865,30.0,TS,TD
1959254N14148,1959-09-11 00:00:00,1959-09-19 18:00:00,1959,165.0,71,27.890140845070423,134.7450704225352,165.0,STY,STY
1959274N09137,1959-10-03 06:00:00,1959-10-09 00:00:00,1959,65.0,47,27.710638297872336,134.74680851063832,65.0,TY,TY
1959278N15118,1959-10-05 12:00:00,1959-10-10 00:00:00,1959,40.0,37,18.82702702702703,119.94054054054054,40.0,TS,TS
1959281N09143,1959-10-09 00:00:00,1959-10-19 18:00:00,1959,145.0,87,21.357471264367813,131.24137931034483,145.0,STY,STY
1959286N07168,1959-10-14 18:00:00,1959-10-25 12:00:00,1959,150.0,87,26.39080459770115,152.73563218390805,150.0,STY,STY
1959305N06167,1959-11-05 06:00:00,1959-11-15 00:00:00,1959,110.0,79,19.134177215189872,136.18734177215188,110.0,TY,TY
1959317N09137,1959-11-13 00:00:00,1959-11-21 00:00:00,1959,115.0,65,18.146153846153847,129.9,115.0,TY,TY
1959346N06147,1959-12-13 00:00:00,1959-12-22 12:00:00,1959,150.0,77,10.589610389610389,125.36623376623378,150.0,STY,STY
1959356N05152,1959-12-24 00:00:00,1960-01-02 18:00:00,1959,130.0,79,10.770886075949367,133.9367088607595,130.0,STY,STY
1960112N09127,1960-04-22 00:00:00,1960-04-26 12:00:00,1960,75.0,37,15.25135135135135,120.57027027027029,75.0,TY,TY
1960146N08131,1960-05-25 06:00:00,1960-06-01 12:00:00,1960,45.0,59,17.40169491525424,129.96101694915254,45.0,TS,TS
1960154N12137,1960-06-03 18:00:00,1960-06-11 12:00:00,1960,60.0,63,26.038095238095238,137.6095238095238,60.0,TS,TS
1960173N08137,1960-06-23 18:00:00,1960-06-30 18:00:00,1960,125.0,57,16.549122807017543,119.59649122807018,125.0,TY,TY
1960199N17129,1960-07-17 12:00:00,1960-07-29 18:00:00,1960,115.0,99,25.943434343434344,125.7949494949495,115.0,TY,TY
1960210N13134,1960-07-29 00:00:00,1960-08-02 18:00:00,1960,135.0,39,24.451282051282053,122.45897435897434,135.0,STY,STY
1960215N11138,1960-08-04 00:00:00,1960-08-10 00:00:00,1960,125.0,49,21.46530612244898,126.78979591836735,125.0,TY,TY
1960223N21127,1960-08-12 00:00:00,1960-08-16 00:00:00,1960,50.0,33,22.76060606060606,123.65151515151516,50.0,TS,TS
1960227N23126,1960-08-16 00:00:00,1960-08-24 00:00:00,1960,75.0,65,28.253846153846155,127.35692307692308,75.0,TY,TY
1960231N22117,1960-08-19 18:00:00,1960-08-25 06:00:00,1960,75.0,45,21.87333333333333,119.33333333333333,75.0,TY,TY
1960243N11137,1960-08-30 12:00:00,1960-09-04 00:00:00,1960,45.0,37,14.116216216216214,123.56756756756756,45.0,TS,TS
1960253N09153,1960-09-11 12:00:00,1960-09-19 06:00:00,1960,40.0,63,16.174603174603174,127.21746031746031,35.0,TS,TS
1960273N10142,1960-10-02 12:00:00,1960-10-13 18:00:00,1960,90.0,91,15.685714285714287,119.57252747252748,90.0,TY,TY
1960282N21132,1960-10-08 12:00:00,1960-10-17 06:00:00,1960,80.0,71,17.798591549295775,120.9338028169014,80.0,TY,TY
1960294N13138,1960-10-23 00:00:00,1960-10-29 12:00:00,1960,110.0,53,31.120754716981132,145.8679245283019,100.0,TY,TY
1960327N09161,1960-11-21 12:00:00,1960-12-08 18:00:00,1960,135.0,139,18.136690647482013,154.0769784172662,135.0,STY,STY
1960346N07148,1960-12-11 00:00:00,1960-12-20 00:00:00,1960,105.0,73,14.07123287671233,132.05342465753424,105.0,TY,TY
1961014N07141,1961-01-14 12:00:00,1961-01-20 06:00:00,1961,40.0,47,11.74255319148936,135.81702127659574,40.0,TS,TS
1961058N06132,1961-02-27 06:00:00,1961-03-01 12:00:00,1961,40.0,19,9.042105263157895,130.26842105263157,40.0,TS,TS
1961081N08148,1961-03-24 00:00:00,1961-03-31 06:00:00,1961,130.0,59,13.559322033898304,136.68305084745762,130.0,STY,STY
1961141N09135,1961-05-22 06:00:00,1961-05-28 12:00:00,1961,130.0,51,20.04901960784314,125.56666666666666,130.0,STY,STY
1961173N09139,1961-06-23 06:00:00,1961-07-02 06:00:00,1961,45.0,73,20.64246575342466,128.03972602739725,45.0,TS,TS
1961188N10147,1961-07-12 12:00:00,1961-07-15 06:00:00,1961,80.0,23,22.034782608695654,120.1304347826087,80.0,TY,TY
1961193N12146,1961-07-16 00:00:00,1961-07-19 18:00:00,1961,45.0,31,18.73548387096774,120.7709677419355,40.0,TS,TS
