SID,ISO_TIME,NATURE,LAT,LON,USA_WIND,year,LON_180,on_ph_land
1950269N05153,1950-10-01 00:00:00,TS,15.3,126.8,45.0,1950,126.8,False
1950269N05153,1950-10-01 03:00:00,TS,15.5,125.9,48.0,1950,125.9,False
1950269N05153,1950-10-01 06:00:00,TS,15.6,124.9,50.0,1950,124.9,False
1950269N05153,1950-10-01 09:00:00,TS,15.8,124.1,53.0,1950,124.1,False
1950269N05153,1950-10-01 12:00:00,TS,16.0,123.5,55.0,1950,123.5,False
1950269N05153,1950-10-01 15:00:00,TS,16.3,122.8,58.0,1950,122.8,False
1950269N05153,1950-10-01 18:00:00,TS,16.7,122.3,60.0,1950,122.3,True
1950269N05153,1950-10-01 21:00:00,TS,17.0,121.8,63.0,1950,121.8,True
1950269N05153,1950-10-02 00:00:00,TS,17.3,121.4,65.0,1950,121.4,True
1950269N05153,1950-10-02 03:00:00,TS,17.4,121.0,68.0,1950,121.0,True
1950269N05153,1950-10-02 06:00:00,TS,17.5,120.6,70.0,1950,120.6,True
1950269N05153,1950-10-02 09:00:00,TS,17.7,120.2,73.0,1950,120.2,False
1950269N05153,1950-10-02 12:00:00,TS,17.8,119.9,75.0,1950,119.9,False
1950269N05153,1950-10-02 15:00:00,TS,18.0,119.5,78.0,1950,119.5,False
1950269N05153,1950-10-02 18:00:00,TS,18.1,119.1,80.0,1950,119.1,False
1950269N05153,1950-10-02 21:00:00,TS,18.2,118.8,83.0,1950,118.8,False
1950269N05153,1950-10-03 00:00:00,TS,18.3,118.4,85.0,1950,118.4,False
1950269N05153,1950-10-03 03:00:00,TS,18.4,118.2,88.0,1950,118.2,False
1950269N05153,1950-10-03 06:00:00,TS,18.5,118.0,90.0,1950,118.0,False
1950269N05153,1950-10-03 09:00:00,TS,18.7,117.7,95.0,1950,117.7,False
1950269N05153,1950-10-03 12:00:00,TS,18.9,117.5,100.0,1950,117.5,False
1950269N05153,1950-10-03 15:00:00,TS,19.1,117.3,100.0,1950,117.3,False
1950269N05153,1950-10-03 18:00:00,TS,19.3,117.2,100.0,1950,117.2,False
1950269N05153,1950-10-03 21:00:00,TS,19.5,117.1,100.0,1950,117.1,False
1950269N05153,1950-10-04 00:00:00,TS,19.8,117.0,100.0,1950,117.0,False
1950269N05153,1950-10-04 03:00:00,TS,19.9,116.8,90.0,1950,116.8,False
1950269N05153,1950-10-04 06:00:00,TS,20.1,116.7,80.0,1950,116.7,False
1950269N05153,1950-10-04 09:00:00,TS,20.3,116.5,75.0,1950,116.5,False
1950269N05153,1950-10-04 12:00:00,TS,20.6,116.3,70.0,1950,116.3,False
1950269N05153,1950-10-04 15:00:00,TS,20.8,116.0,68.0,1950,116.0,False
1950269N05153,1950-10-04 18:00:00,TS,21.0,115.6,65.0,1950,115.6,False
1950269N05153,1950-10-04 21:00:00,TS,21.2,115.3,63.0,1950,115.3,False
1950269N05153,1950-10-05 00:00:00,TS,21.2,114.9,60.0,1950,114.9,False
1950269N05153,1950-10-05 03:00:00,TS,21.3,114.5,58.0,1950,114.5,False
1950269N05153,1950-10-05 06:00:00,TS,21.4,114.0,55.0,1950,114.0,False
1950322N06138,1950-11-19 18:00:00,TS,8.5,128.9,30.0,1950,128.9,False
1950322N06138,1950-11-19 21:00:00,TS,8.7,128.1,30.0,1950,128.1,False
1950322N06138,1950-11-20 00:00:00,TS,8.9,127.3,30.0,1950,127.3,False
1950322N06138,1950-11-20 03:00:00,TS,9.1,126.6,35.0,1950,126.6,False
1950322N06138,1950-11-20 06:00:00,TS,9.3,125.8,40.0,1950,125.8,True
1950322N06138,1950-11-20 09:00:00,TS,9.7,124.5,45.0,1950,124.5,False
1950322N06138,1950-11-20 12:00:00,TS,10.1,123.7,50.0,1950,123.7,False
1950322N06138,1950-11-20 15:00:00,TS,10.4,123.1,55.0,1950,123.1,True
1950322N06138,1950-11-20 18:00:00,TS,10.6,122.4,60.0,1950,122.4,False
1950322N06138,1950-11-20 21:00:00,TS,11.0,121.5,60.0,1950,121.5,False
1950322N06138,1950-11-21 00:00:00,TS,11.3,120.6,60.0,1950,120.6,False
1950322N06138,1950-11-21 03:00:00,TS,11.7,119.9,60.0,1950,119.9,False
1950322N06138,1950-11-21 06:00:00,TS,12.0,119.4,60.0,1950,119.4,False
1950322N06138,1950-11-21 09:00:00,TS,12.4,118.9,55.0,1950,118.9,False
1950322N06138,1950-11-21 12:00:00,TS,12.8,118.3,50.0,1950,118.3,False
1950322N06138,1950-11-21 15:00:00,TS,13.1,117.7,48.0,1950,117.7,False
1950322N06138,1950-11-21 18:00:00,TS,13.4,117.2,45.0,1950,117.2,False
1950322N06138,1950-11-21 21:00:00,TS,13.7,116.6,40.0,1950,116.6,False
1950322N06138,1950-11-22 00:00:00,TS,14.1,116.0,35.0,1950,116.0,False
1950322N06138,1950-11-22 03:00:00,TS,14.3,115.4,33.0,1950,115.4,False
1950322N06138,1950-11-22 06:00:00,TS,14.5,114.9,30.0,1950,114.9,False
1950322N06138,1950-11-22 09:00:00,TS,14.8,114.3,30.0,1950,114.3,False
1950322N06138,1950-11-22 12:00:00,TS,15.1,113.7,30.0,1950,113.7,False
1950322N06138,1950-11-22 15:00:00,TS,15.3,113.0,30.0,1950,113.0,False
1950322N06138,1950-11-22 18:00:00,TS,15.5,112.5,30.0,1950,112.5,False
1950360N10141,1950-12-29 00:00:00,TS,12.7,127.3,40.0,1950,127.3,False
1950360N10141,1950-12-29 03:00:00,TS,12.9,126.8,50.0,1950,126.8,False
1950360N10141,1950-12-29 06:00:00,TS,13.1,126.3,60.0,1950,126.3,False
1950360N10141,1950-12-29 09:00:00,TS,13.3,125.6,70.0,1950,125.6,False
1950360N10141,1950-12-29 12:00:00,TS,13.5,124.9,80.0,1950,124.9,False
1950360N10141,1950-12-29 15:00:00,TS,13.6,124.4,75.0,1950,124.4,False
1950360N10141,1950-12-29 18:00:00,TS,13.8,123.8,70.0,1950,123.8,True
1950360N10141,1950-12-29 21:00:00,TS,14.0,123.1,70.0,1950,123.1,False
1950360N10141,1950-12-30 00:00:00,TS,14.1,122.3,70.0,1950,122.3,False
1950360N10141,1950-12-30 03:00:00,TS,14.2,121.9,70.0,1950,121.9,False
1950360N10141,1950-12-30 06:00:00,TS,14.3,121.6,70.0,1950,121.6,True
1950360N10141,1950-12-30 09:00:00,TS,14.4,121.2,65.0,1950,121.2,True
1950360N10141,1950-12-30 12:00:00,TS,14.4,120.8,60.0,1950,120.8,False
1950360N10141,1950-12-30 15:00:00,TS,14.4,120.3,60.0,1950,120.3,False
1950360N10141,1950-12-30 18:00:00,TS,14.4,119.8,60.0,1950,119.8,False
1950360N10141,1950-12-30 21:00:00,TS,14.3,119.4,53.0,1950,119.4,False
1950360N10141,1950-12-31 00:00:00,TS,14.3,118.9,45.0,1950,118.9,False
1950360N10141,1950-12-31 03:00:00,TS,14.3,118.4,45.0,1950,118.4,False
1950360N10141,1950-12-31 06:00:00,TS,14.3,117.9,45.0,1950,117.9,False
1950360N10141,1950-12-31 09:00:00,TS,14.3,117.4,45.0,1950,117.4,False
1950360N10141,1950-12-31 12:00:00,TS,14.3,116.9,45.0,1950,116.9,False
1950360N10141,1950-12-31 15:00:00,TS,14.2,116.3,45.0,1950,116.3,False
1950360N10141,1950-12-31 18:00:00,TS,14.2,115.8,45.0,1950,115.8,False
1950360N10141,1950-12-31 21:00:00,TS,14.2,115.3,45.0,1950,115.3,False
1950360N10141,1951-01-01 00:00:00,TS,14.1,114.8,45.0,1951,114.8,False
1950360N10141,1951-01-01 03:00:00,TS,13.9,114.2,40.0,1951,114.2,False
1950360N10141,1951-01-01 06:00:00,TS,13.5,113.6,35.0,1951,113.6,False
1951119N06145,1951-04-29 12:00:00,TS,7.1,142.9,35.0,1951,142.9,False
1951119N06145,1951-04-29 15:00:00,TS,7.3,142.6,40.0,1951,142.6,False
1951119N06145,1951-04-29 18:00:00,TS,7.5,142.4,45.0,1951,142.4,False
1951119N06145,1951-04-29 21:00:00,TS,7.7,142.1,50.0,1951,142.1,False
1951119N06145,1951-04-30 00:00:00,TS,7.9,141.8,55.0,1951,141.8,False
1951119N06145,1951-04-30 03:00:00,TS,8.0,141.4,58.0,1951,141.4,False
1951119N06145,1951-04-30 06:00:00,TS,8.2,141.0,60.0,1951,141.0,False
1951119N06145,1951-04-30 09:00:00,TS,8.3,140.5,63.0,1951,140.5,False
1951119N06145,1951-04-30 12:00:00,TS,8.5,140.1,65.0,1951,140.1,False
1951119N06145,1951-04-30 15:00:00,TS,8.6,139.6,65.0,1951,139.6,False
1951119N06145,1951-04-30 18:00:00,TS,8.7,139.2,65.0,1951,139.2,False
1951119N06145,1951-04-30 21:00:00,TS,8.9,138.5,65.0,1951,138.5,False
1951119N06145,1951-05-01 00:00:00,TS,9.0,137.8,65.0,1951,137.8,False
1951119N06145,1951-05-01 03:00:00,TS,9.0,137.3,68.0,1951,137.3,False
1951119N06145,1951-05-01 06:00:00,TS,9.0,136.8,70.0,1951,136.8,False
1951119N06145,1951-05-01 09:00:00,TS,9.1,136.3,70.0,1951,136.3,False
1951119N06145,1951-05-01 12:00:00,TS,9.2,135.9,70.0,1951,135.9,False
1951119N06145,1951-05-01 15:00:00,TS,9.4,135.4,68.0,1951,135.4,False
1951119N06145,1951-05-01 18:00:00,TS,9.6,135.0,65.0,1951,135.0,False
1951119N06145,1951-05-01 21:00:00,TS,9.8,134.7,63.0,1951,134.7,False
1951119N06145,1951-05-02 00:00:00,TS,9.9,134.5,60.0,1951,134.5,False
1951119N06145,1951-05-02 03:00:00,TS,10.1,134.3,65.0,1951,134.3,False
1951119N06145,1951-05-02 06:00:00,TS,10.4,134.0,70.0,1951,134.0,False
1951119N06145,1951-05-02 09:00:00,TS,10.6,133.7,75.0,1951,133.7,False
1951119N06145,1951-05-02 12:00:00,TS,10.8,133.4,80.0,1951,133.4,False
1951119N06145,1951-05-02 15:00:00,TS,10.9,133.2,85.0,1951,133.2,False
1951119N06145,1951-05-02 18:00:00,TS,10.9,132.9,90.0,1951,132.9,False
1951119N06145,1951-05-02 21:00:00,TS,11.0,132.4,95.0,1951,132.4,False
1951119N06145,1951-05-03 00:00:00,TS,11.0,132.0,100.0,1951,132.0,False
1951119N06145,1951-05-03 03:00:00,TS,10.9,131.8,110.0,1951,131.8,False
1951119N06145,1951-05-03 06:00:00,TS,10.9,131.6,120.0,1951,131.6,False
1951119N06145,1951-05-03 09:00:00,TS,10.8,131.3,125.0,1951,131.3,False
1951119N06145,1951-05-03 12:00:00,TS,10.9,130.9,130.0,1951,130.9,False
1951119N06145,1951-05-03 15:00:00,TS,11.0,130.6,135.0,1951,130.6,False
1951119N06145,1951-05-03 18:00:00,TS,11.2,130.3,140.0,1951,130.3,False
1951119N06145,1951-05-03 21:00:00,TS,11.6,129.8,145.0,1951,129.8,False
1951119N06145,1951-05-04 00:00:00,TS,11.8,129.2,150.0,1951,129.2,False
1951119N06145,1951-05-04 03:00:00,TS,11.9,128.4,145.0,1951,128.4,False
1951119N06145,1951-05-04 06:00:00,TS,11.9,127.7,140.0,1951,127.7,False
1951119N06145,1951-05-04 09:00:00,TS,11.8,127.1,135.0,1951,127.1,False
1951119N06145,1951-05-04 12:00:00,TS,11.8,126.6,130.0,1951,126.6,False
1951119N06145,1951-05-04 15:00:00,TS,11.8,126.0,120.0,1951,126.0,False
1951119N06145,1951-05-04 18:00:00,TS,11.9,125.5,110.0,1951,125.5,False
1951119N06145,1951-05-04 21:00:00,TS,12.0,125.1,95.0,1951,125.1,True
1951119N06145,1951-05-05 00:00:00,TS,12.1,124.7,80.0,1951,124.7,True
1951119N06145,1951-05-05 03:00:00,TS,12.2,124.3,75.0,1951,124.3,False
1951119N06145,1951-05-05 06:00:00,TS,12.4,123.9,70.0,1951,123.9,False
1951119N06145,1951-05-05 09:00:00,TS,12.5,123.5,68.0,1951,123.5,False
1951119N06145,1951-05-05 12:00:00,TS,12.7,123.2,65.0,1951,123.2,False
1951119N06145,1951-05-05 15:00:00,TS,13.0,122.7,63.0,1951,122.7,False
1951119N06145,1951-05-05 18:00:00,TS,13.2,122.2,60.0,1951,122.2,False
1951119N06145,1951-05-05 21:00:00,TS,13.5,121.8,58.0,1951,121.8,False
1951119N06145,1951-05-06 00:00:00,TS,13.7,121.4,55.0,1951,121.4,True
1951119N06145,1951-05-06 03:00:00,TS,14.0,120.9,53.0,1951,120.9,True
1951119N06145,1951-05-06 06:00:00,TS,14.3,120.5,50.0,1951,120.5,False
1951119N06145,1951-05-06 09:00:00,TS,14.5,120.1,50.0,1951,120.1,False
1951119N06145,1951-05-06 12:00:00,TS,14.8,119.7,50.0,1951,119.7,False
1951119N06145,1951-05-06 15:00:00,TS,15.0,119.2,50.0,1951,119.2,False
1951119N06145,1951-05-06 18:00:00,TS,15.3,118.7,50.0,1951,118.7,False
1951119N06145,1951-05-06 21:00:00,TS,15.7,118.2,58.0,1951,118.2,False
1951119N06145,1951-05-07 00:00:00,TS,16.3,117.9,65.0,1951,117.9,False
1951119N06145,1951-05-07 03:00:00,TS,16.7,117.8,65.0,1951,117.8,False
1951119N06145,1951-05-07 06:00:00,TS,17.2,117.9,65.0,1951,117.9,False
1951119N06145,1951-05-07 09:00:00,TS,17.7,118.0,65.0,1951,118.0,False
1951119N06145,1951-05-07 12:00:00,TS,18.2,118.2,65.0,1951,118.2,False
1951119N06145,1951-05-07 15:00:00,TS,18.7,118.4,68.0,1951,118.4,False
1951119N06145,1951-05-07 18:00:00,TS,19.1,118.6,70.0,1951,118.6,False
1951119N06145,1951-05-07 21:00:00,TS,19.5,118.9,73.0,1951,118.9,False
1951119N06145,1951-05-08 00:00:00,TS,20.0,119.3,75.0,1951,119.3,False
1951119N06145,1951-05-08 03:00:00,TS,20.5,119.7,73.0,1951,119.7,False
1951119N06145,1951-05-08 06:00:00,TS,21.0,120.3,70.0,1951,120.3,False
1951119N06145,1951-05-08 09:00:00,TS,21.5,120.9,73.0,1951,120.9,False
1951119N06145,1951-05-08 12:00:00,TS,22.0,121.6,75.0,1951,121.6,False
1951119N06145,1951-05-08 15:00:00,TS,22.6,122.3,78.0,1951,122.3,False
1951119N06145,1951-05-08 18:00:00,TS,23.1,123.1,80.0,1951,123.1,False
1951119N06145,1951-05-08 21:00:00,TS,23.6,124.1,83.0,1951,124.1,False
1951119N06145,1951-05-09 00:00:00,TS,24.1,125.3,85.0,1951,125.3,False
1951119N06145,1951-05-09 03:00:00,TS,24.5,126.6,85.0,1951,126.6,False
1951119N06145,1951-05-09 06:00:00,TS,25.0,128.0,85.0,1951,128.0,False
1951119N06145,1951-05-09 09:00:00,TS,25.6,129.5,83.0,1951,129.5,False
1951119N06145,1951-05-09 12:00:00,TS,26.0,130.9,80.0,1951,130.9,False
1951119N06145,1951-05-09 15:00:00,TS,26.4,132.3,80.0,1951,132.3,False
